,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
376,carbonear,90,CA,1609818497,100,47.73,-53.21,33.01,17.22
377,ketchikan,90,US,1609818497,86,55.34,-131.65,39.2,28.86
378,rafai,53,CF,1609818498,57,4.95,23.92,67.95,1.1
379,indramayu,100,ID,1609818498,75,-6.33,108.32,83.73,13.04
380,richards bay,1,US,1609818211,100,46.84,-95.91,17.6,3.36
381,imeni poliny osipenko,86,NG,1609818498,86,7.32,5.96,75.97,5.57
382,okato,27,NZ,1609818498,60,-39.2,173.88,73.99,7.0
383,deputatskiy,31,RU,1609818498,84,69.3,139.9,-29.22,5.7
384,galle,43,LK,1609818498,73,6.04,80.22,81.75,4.63
385,zaozerne,81,UA,1609818498,68,45.16,33.28,46.58,9.06
386,toledo,0,ES,1609818498,83,39.83,-4.0,28.0,1.01
387,kavaratti,40,IN,1609818498,74,10.57,72.64,82.4,4.7
388,tintigny,98,BE,1609818498,94,49.68,5.51,34.0,1.01
389,longhua,16,CN,1609818498,29,23.61,114.19,69.89,6.35
390,axim,22,GH,1609818499,86,4.87,-2.24,78.64,9.71
391,vila velha,0,PT,1609818499,93,42.03,-8.16,28.99,1.01
392,bathsheba,40,BB,1609818499,69,13.22,-59.52,78.8,17.22
393,terrace bay,90,CA,1609818499,93,54.52,-128.6,35.6,21.92
394,alekseyevsk,100,RU,1609818499,80,57.84,108.35,-28.05,7.11
395,broome,90,US,1609818499,92,42.25,-75.83,33.01,3.36
396,tabas,59,IR,1609818499,50,33.6,56.92,30.2,4.7
397,jequitinhonha,76,BR,1609818499,88,-16.43,-41.0,70.36,2.8
398,kokstad,88,ZA,1609818499,88,-30.55,29.42,62.28,2.59
399,cabatuan,81,PH,1609818499,72,10.88,122.49,83.26,15.84
400,rockingham,73,US,1609818499,93,42.97,-71.1,30.0,5.7
401,ikirun,47,NG,1609818499,95,7.92,4.67,72.9,2.8
402,kalabo,42,ZM,1609818499,96,-14.97,22.68,64.74,2.95
403,yar-sale,2,RU,1609818500,88,66.83,70.83,-14.42,12.91
404,seon,100,CH,1609818500,92,47.34,8.16,30.99,3.0
405,carmo do paranaiba,18,BR,1609818500,90,-21.93,-42.61,69.1,2.35
406,sao joao da barra,85,IN,1609818500,44,20.51,76.21,73.44,13.33
407,anloga,20,GH,1609818500,78,5.79,0.9,77.0,3.36
408,francisco sa,100,US,1609818500,88,38.33,-87.45,42.01,1.01
409,sibolga,75,ID,1609818450,59,1.74,98.78,86.43,3.85
410,manicore,88,BR,1609818500,91,-5.81,-61.3,73.0,1.81
411,saurimo,100,AO,1609818501,92,-9.66,20.39,64.2,4.59
412,limoeiro do ajuru,40,BR,1609818501,69,-7.87,-35.45,78.8,9.17
413,daultala,90,PK,1609818501,100,33.19,73.14,51.01,11.05
414,sinazongwe,1,ZM,1609818501,81,-17.26,27.46,72.41,2.19
415,palmer,75,US,1609818501,100,42.16,-72.33,28.99,3.36
416,mandurah,0,AU,1609818243,34,-32.55,115.7,84.0,18.34
417,kemijarvi,0,FI,1609818501,94,66.71,27.43,13.19,2.57
418,mozelos,0,PT,1609818501,89,41.87,-8.4,37.0,3.36
419,tamasane,0,BW,1609818501,82,-22.42,27.4,68.0,2.75
420,zainsk,90,RU,1609818501,100,55.32,52.07,23.0,8.95
421,antofagasta,75,CL,1609818363,82,-23.65,-70.4,66.2,6.93
422,leh,100,IN,1609818502,78,34.17,77.58,18.1,2.98
423,ancud,0,CL,1609818502,71,-41.87,-73.82,54.0,11.41
424,katherine,24,AU,1609818502,62,-14.47,132.27,89.6,9.17
425,vanavara,100,RU,1609818502,84,60.34,102.28,-25.29,7.87
426,micheweni,100,TZ,1609818502,81,-4.97,39.83,80.1,12.01
427,methoni,20,GR,1609818502,100,36.82,21.7,51.01,11.56
428,contai,89,IN,1609818502,38,21.78,87.75,77.2,6.29
429,lodja,100,CD,1609818502,96,-3.48,23.43,67.64,1.32
430,monterey,90,US,1609818502,1,36.25,-121.25,53.01,5.01
431,mmabatho,75,ZA,1609818502,88,-25.85,25.63,66.2,6.93
432,filadelfia,90,US,1609818420,71,39.95,-75.16,41.0,8.05
433,jalu,2,LY,1609818503,78,29.03,21.55,52.32,12.39
434,mus,94,TR,1609818503,90,39.0,41.75,16.25,6.71
435,skibbereen,0,IE,1609818503,91,51.55,-9.27,35.6,11.41
436,jacqueville,40,CI,1609818503,100,5.21,-4.41,78.8,2.24
437,newport,71,GB,1609818366,87,51.59,-3.0,39.0,4.0
438,katsuura,75,JP,1609818256,61,35.13,140.3,51.01,4.7
439,margate,100,GB,1609818503,82,51.38,1.39,39.99,5.01
440,mujiayingzi,0,CN,1609818503,80,42.12,118.78,1.74,6.93
441,laguna,1,US,1609818504,81,38.42,-121.42,52.0,8.05
442,robertsport,85,LR,1609818504,79,6.75,-11.37,80.22,6.89
443,ibra,0,OM,1609818504,35,22.69,58.53,58.42,7.74
444,mezen,87,RU,1609818504,94,65.85,44.24,0.77,4.0
445,brekstad,75,NO,1609818504,86,63.69,9.67,33.01,14.99
446,maniwaki,100,CA,1609818430,92,46.38,-75.97,26.6,1.12
447,raudeberg,72,NO,1609818504,74,61.99,5.14,30.2,9.17
448,vostok,53,RU,1609818504,82,46.49,135.88,-4.32,5.99
449,sobolevo,99,RU,1609818504,99,54.43,31.9,29.62,7.92
450,bijie,100,CN,1609818504,88,27.31,105.29,35.33,5.5
451,jaysingpur,59,IN,1609818504,59,16.78,74.56,74.35,11.3
452,meghri,0,AM,1609818504,68,38.9,46.24,33.71,2.37
453,nisia floresta,20,GR,1609818504,100,39.39,21.64,39.99,5.7
454,jaguariaiva,86,BR,1609818505,91,-24.25,-49.71,62.35,2.46
455,riyadh,0,SA,1609818320,71,24.69,46.72,53.6,3.36
456,veracruz,75,MX,1609818267,78,19.33,-96.67,75.2,3.36
457,shelburne,98,CA,1609818248,95,44.08,-80.2,30.99,4.29
458,lockport,90,US,1609818505,100,41.59,-88.06,28.99,5.82
459,gijon,100,ES,1609818505,89,43.54,-5.66,39.0,1.01
460,bardiyah,67,LY,1609818505,86,31.76,25.09,59.59,13.6
461,aksum,23,ET,1609818505,83,14.12,38.72,47.43,2.51
462,inhambane,40,MZ,1609818505,88,-23.86,35.38,77.0,0.72
463,kidal,0,ML,1609818505,23,18.44,1.41,67.3,8.95
464,isangel,90,VU,1609818505,83,-19.55,169.27,82.4,6.93
465,muisne,93,EC,1609818505,84,0.6,-80.03,75.15,10.27
466,boralday,75,KZ,1609818505,76,43.36,76.86,-4.0,2.24
467,aripuana,100,BR,1609818506,94,-9.17,-60.63,71.71,1.32
468,taksimo,85,RU,1609818506,76,56.34,114.88,-18.17,3.42
469,kiruna,18,SE,1609818506,92,67.86,20.23,19.4,6.93
470,cabog,28,PH,1609818506,62,15.32,121.37,84.65,9.98
471,kattivakkam,90,IN,1609818506,100,13.22,80.32,77.0,3.36
472,college,40,US,1609818255,68,64.86,-147.8,-9.99,2.1
473,pag,20,HR,1609818506,71,44.45,15.06,32.0,4.7
474,mareeba,80,AU,1609818506,92,-17.0,145.43,87.01,1.99
475,kodinsk,86,RU,1609818506,81,58.69,99.18,-24.16,4.52
476,twin falls,65,US,1609818506,87,48.16,-123.95,44.6,9.17
477,hervey bay,1,US,1609818506,83,33.5,-93.78,53.6,5.82
478,yerbogachen,100,RU,1609818506,83,61.28,108.01,-24.93,10.11
479,fomboni,0,KM,1609818506,71,-12.28,43.74,83.39,9.01
480,oranjemund,100,NA,1609818506,91,-28.55,16.43,65.21,3.69
481,nata,66,PA,1609818506,40,8.33,-80.52,73.99,8.37
482,krasnoselkup,0,RU,1609818507,85,65.7,82.47,-22.29,11.25
483,alice springs,1,US,1609818507,100,27.75,-98.07,64.4,4.54
484,pierre,1,US,1609818497,55,44.37,-100.35,34.0,4.7
485,shepsi,100,RU,1609818507,43,44.04,39.15,52.32,4.27
486,basoko,99,CD,1609818507,89,1.24,23.62,71.96,3.98
487,ust-tsilma,26,RU,1609818507,90,65.44,52.15,-6.18,3.85
488,ocos,5,GT,1609818507,100,14.51,-92.19,75.2,5.08
489,fairbanks,20,US,1609818221,83,64.84,-147.72,-9.99,1.74
490,rio gallegos,40,GR,1609818507,87,38.3,21.78,50.0,7.52
491,saint-francois,90,FR,1609818507,98,46.42,3.91,34.0,3.36
492,fare,100,PF,1609818508,73,-16.7,-151.02,81.7,17.29
493,deming,1,US,1609818508,33,32.27,-107.76,42.8,5.82
494,taunggyi,47,MM,1609818508,48,20.78,97.03,75.29,0.27
495,manono,88,CD,1609818508,96,-7.3,27.42,67.28,2.84
496,karasjok,42,NO,1609818508,74,69.47,25.51,28.4,3.36
497,serro,6,BR,1609818508,93,-18.6,-43.38,64.42,0.98
498,coquimbo,7,CL,1609818508,87,-29.95,-71.34,59.0,3.36
499,thyboron,17,DK,1609818508,93,56.7,8.21,34.0,18.79
500,nha trang,100,NP,1609818508,81,27.91,86.72,30.09,7.16
501,santana de parnaiba,75,BR,1609818391,88,-0.06,-51.18,80.6,6.93
502,pangody,83,RU,1609818508,89,65.85,74.49,-15.95,10.09
503,upington,90,ZA,1609818508,94,-28.45,21.26,71.6,9.17
504,mtwara,20,TZ,1609818508,94,-10.27,40.18,75.2,9.17
505,ust-ishim,98,RU,1609818508,88,57.69,71.17,-11.47,7.31
506,cordoba,40,AR,1609818434,73,-31.41,-64.18,69.8,31.09
507,natchitoches,1,US,1609818509,87,31.77,-93.13,42.8,5.12
508,aginskoye,98,RU,1609818509,74,51.1,114.53,-13.65,21.74
509,coahuayana,5,MX,1609818509,73,18.73,-103.68,73.4,3.47
510,maceio,40,BR,1609818507,94,-9.67,-35.74,73.4,1.12
511,atar,65,MR,1609818384,37,20.52,-13.05,68.63,6.58
512,santa rosa,0,PH,1609818509,59,17.49,120.43,85.64,6.67
513,mbuji-mayi,100,CD,1609818509,94,-6.15,23.6,68.32,3.2
514,faribault,1,US,1609818509,92,44.3,-93.27,28.99,8.81
515,marsh harbour,81,GB,1609818509,94,53.65,-1.81,36.0,1.99
516,ramnagar,100,IN,1609818509,38,29.4,79.12,71.29,8.88
517,grants,1,US,1609818504,47,35.15,-107.85,35.6,11.41
518,roald,67,NO,1609818509,79,62.58,6.13,30.0,8.05
519,dakar,0,SN,1609818509,94,14.69,-17.44,69.8,9.17
520,tulare,8,US,1609818510,65,36.27,-118.8,51.01,1.01
521,sumbe,85,AO,1609818510,85,-11.21,13.84,75.04,5.06
522,xining,55,CN,1609818510,80,36.62,101.77,10.72,3.4
523,bodden town,35,GB,1609818510,98,51.2,-2.52,37.4,11.41
524,san andres,3,ML,1609818302,21,13.3,-4.9,72.28,11.48
525,maracas,99,BR,1609818510,100,-13.44,-40.43,60.93,3.74
526,iqaluit,20,CA,1609818292,67,63.75,-68.51,-22.0,4.7
527,starokostyantyniv,100,UA,1609818510,82,49.76,27.2,36.61,14.07
528,oranjestad,75,AW,1609818326,94,12.52,-70.03,75.2,9.17
529,mao,0,ES,1609818510,86,39.89,4.27,39.2,6.93
530,marzuq,0,YE,1609818510,49,14.4,46.47,56.98,3.09
531,oktyabrskoye,0,RU,1609818510,100,43.06,44.74,26.6,2.24
532,klamath falls,75,US,1609818511,69,42.67,-121.75,35.6,11.41
533,tosya,45,TR,1609818511,74,41.02,34.04,38.82,3.98
534,sisimiut,100,GL,1609818511,95,66.94,-53.67,12.78,8.48
535,mercedes,40,AR,1609818511,70,-34.65,-59.43,73.0,3.0
536,borogontsy,99,RU,1609818511,78,62.67,131.17,-44.21,1.12
537,nabire,68,ID,1609818511,75,-3.37,135.48,84.69,4.41
538,zyryanka,100,RU,1609818511,87,65.75,150.85,-22.76,0.16
539,abu samrah,3,IN,1609818511,43,24.6,72.7,57.38,3.24
540,boguchany,65,RU,1609818511,82,58.38,97.45,-21.89,4.56
541,vaitape,100,PF,1609818511,72,-16.52,-151.75,82.0,16.55
542,vysokogornyy,100,RU,1609818512,85,50.12,139.15,-15.16,6.08
543,manadhoo,96,MV,1609818512,81,5.77,73.38,81.5,14.65
544,tuatapere,99,NZ,1609818512,83,-46.13,167.68,57.67,1.68
545,kawalu,100,ID,1609818512,54,-7.38,108.21,89.4,1.92
546,opatija,7,HR,1609818512,92,45.34,14.31,33.01,2.62
547,westport,1,US,1609818490,80,41.14,-73.36,35.01,4.7
548,vizinga,92,RU,1609818512,96,61.07,50.1,13.64,2.66
549,ferkessedougou,23,CI,1609818512,28,9.6,-5.2,72.34,1.9
550,alofi,75,NU,1609818512,94,-19.06,-169.92,78.8,1.12
551,aldan,100,RU,1609818512,84,58.6,125.39,-27.0,3.8
552,peking,0,CN,1609818297,23,39.91,116.4,28.99,5.91
553,martapura,90,ID,1609818512,83,-3.42,114.85,80.6,8.05
554,ulaanbaatar,40,MN,1609818513,62,47.91,106.88,-14.8,17.9
555,mana,37,GF,1609818513,89,5.66,-53.78,76.53,7.85
556,mitu,79,CO,1609818513,97,1.2,-70.17,71.13,2.44
557,idlib,20,SY,1609818513,65,35.93,36.63,46.4,4.7
558,novoukrainskoye,99,RU,1609818513,88,45.38,40.53,34.54,11.3
559,porto novo,0,PT,1609818513,100,41.15,-8.61,33.8,4.74
560,susanville,90,US,1609818513,86,40.42,-120.65,37.4,9.17
561,warrington,0,GB,1609818513,80,53.39,-2.58,37.0,8.05
562,tuni,91,IN,1609818513,55,17.35,82.55,78.08,8.46
